Vehicle ID,Traveled Time
1,-0.10000000000000009
2,-0.09999999999999964
2.1,-0.10000000000000053
2.2,-0.09999999999999964
11,-0.09999999999999964
2.3,-0.09999999999999964
11.1,-0.09999999999999964
2.4,-0.10000000000000142
11.2,-0.10000000000000142
2.5,-0.10000000000000142
11.3,-0.09999999999999787
2.6,-0.10000000000000142
21,-0.10000000000000142
11.4,-0.10000000000000142
2.7,-0.09999999999999787
21.1,-0.10000000000000142
11.5,-0.10000000000000142
2.8,-0.10000000000000142
21.2,-0.10000000000000142
11.6,-0.10000000000000142
2.9,-0.09999999999999787
21.3,-0.09999999999999787
11.7,-0.09999999999999787
2.10,-0.10000000000000142
31,-0.10000000000000142
21.4,-0.10000000000000142
11.8,-0.10000000000000142
2.11,-0.10000000000000142
31.1,-0.10000000000000142
21.5,-0.09999999999999432
11.9,-0.10000000000000142
2.12,-0.10000000000000142
31.2,-0.09999999999999432
21.6,-0.10000000000000142
11.10,-0.10000000000000142
2.13,-0.10000000000000142
31.3,-0.09999999999999432
21.7,-0.10000000000000142
11.11,-0.09999999999999432
2.14,-0.10000000000000142
31.4,-0.10000000000000142
21.8,-0.09999999999999432
11.12,-0.10000000000000142
2.15,-0.10000000000000142
31.5,-0.10000000000000142
21.9,-0.10000000000000142
11.13,-0.10000000000000142
2.16,-0.09999999999999432
31.6,-0.10000000000000142
21.10,-0.10000000000000142
11.14,-0.10000000000000142
2.17,-0.10000000000000142
31.7,-0.10000000000000142
11.15,-0.09999999999999432
2.18,-0.10000000000000142
31.8,-0.10000000000000142
21.11,-0.10000000000000142
11.16,-0.10000000000000142
2.19,-0.10000000000000142
31.9,-0.10000000000000142
21.12,-0.10000000000000142
11.17,-0.10000000000000142
3,-0.10000000000000142
31.10,-0.10000000000000142
11.18,-0.09999999999999432
3.1,-0.10000000000000142
31.11,-0.10000000000000142
21.13,-0.10000000000000142
11.19,-0.10000000000000142
3.2,-0.10000000000000142
31.12,-0.10000000000000142
21.14,-0.10000000000000142
12,-0.10000000000000142
3.3,-0.09999999999999432
31.13,-0.09999999999999432
12.1,-0.09999999999999432
3.4,-0.09999999999999432
31.14,-0.10000000000000853
12.2,-0.10000000000000853
21.15,-0.10000000000000853
3.5,-0.10000000000000853
31.15,-0.09999999999999432
12.3,-0.09999999999999432
21.16,-0.09999999999999432
3.6,-0.09999999999999432
31.16,-0.09999999999999432
12.4,-0.10000000000000853
3.7,-0.09999999999999432
31.17,-0.10000000000000853
12.5,-0.09999999999999432
3.8,-0.10000000000000853
31.18,-0.10000000000000853
12.6,-0.09999999999999432
21.17,-0.09999999999999432
3.9,-0.10000000000000853
31.19,-0.09999999999999432
12.7,-0.09999999999999432
3.10,-0.09999999999999432
32,-0.09999999999999432
12.8,-0.10000000000000853
3.11,-0.10000000000000853
32.1,-0.10000000000000853
12.9,-0.09999999999999432
32.2,-0.09999999999999432
3.12,-0.09999999999999432
12.10,-0.09999999999999432
32.3,-0.10000000000000853
3.13,-0.10000000000000853
21.18,-0.09999999999999432
12.11,-0.09999999999999432
32.4,-0.10000000000000853
3.14,-0.09999999999999432
21.19,-0.09999999999999432
12.12,-0.10000000000000853
32.5,-0.09999999999999432
3.15,-0.10000000000000853
32.6,-0.09999999999999432
12.13,-0.09999999999999432
22,-0.09999999999999432
32.7,-0.09999999999999432
22.1,-0.10000000000000853
32.8,-0.09999999999999432
22.2,-0.10000000000000853
3.16,-0.09999999999999432
32.9,-0.09999999999999432
22.3,-0.09999999999999432
32.10,-0.10000000000000853
32.11,-0.09999999999999432
32.12,-0.09999999999999432
32.13,-0.09999999999999432
22.4,-0.09999999999999432
32.14,-0.10000000000000853
12.14,-0.09999999999999432
3.17,-0.10000000000000853
32.15,-0.10000000000000853
12.15,-0.10000000000000853
22.5,-0.10000000000000853
3.18,-0.10000000000000853
32.16,-0.09999999999999432
12.16,-0.10000000000000853
3.19,-0.09999999999999432
32.17,-0.09999999999999432
22.6,-0.09999999999999432
32.18,-0.09999999999999432
4,-0.09999999999999432
32.19,-0.10000000000002274
4.1,-0.10000000000002274
12.17,-0.09999999999999432
33,-0.09999999999999432
4.2,-0.09999999999999432
12.18,-0.09999999999999432
33.1,-0.09999999999999432
4.3,-0.09999999999999432
12.19,-0.10000000000002274
33.2,-0.09999999999999432
13,-0.09999999999999432
33.3,-0.09999999999999432
4.4,-0.09999999999999432
13.1,-0.09999999999999432
33.4,-0.10000000000002274
22.7,-0.10000000000002274
4.5,-0.09999999999999432
33.5,-0.09999999999999432
22.8,-0.09999999999999432
33.6,-0.09999999999999432
13.2,-0.09999999999999432
4.6,-0.09999999999999432
33.7,-0.09999999999999432
4.7,-0.09999999999999432
22.9,-0.09999999999999432
13.3,-0.10000000000002274
33.8,-0.09999999999999432
4.8,-0.09999999999999432
22.10,-0.10000000000002274
13.4,-0.09999999999999432
33.9,-0.09999999999999432
4.9,-0.09999999999999432
22.11,-0.09999999999999432
33.10,-0.09999999999999432
4.10,-0.09999999999999432
22.12,-0.09999999999999432
33.11,-0.09999999999999432
4.11,-0.10000000000002274
22.13,-0.09999999999999432
33.12,-0.10000000000002274
22.14,-0.09999999999999432
33.13,-0.09999999999999432
22.15,-0.10000000000002274
33.14,-0.09999999999999432
4.12,-0.09999999999999432
33.15,-0.09999999999999432
22.16,-0.09999999999999432
4.13,-0.10000000000002274
33.16,-0.10000000000002274
13.5,-0.09999999999999432
22.17,-0.09999999999999432
33.17,-0.09999999999999432
13.6,-0.09999999999999432
4.14,-0.09999999999999432
22.18,-0.09999999999999432
