Vehicle ID,Traveled Time
1,51.5
2,56.699999999999996
2.1,60.3
2.2,59.00000000000001
11,42.4
2.3,57.699999999999996
11.1,44.0
2.4,62.89999999999999
11.2,56.89999999999999
2.5,62.6
11.3,57.900000000000006
2.6,65.4
21,68.5
11.4,57.300000000000004
2.7,64.19999999999999
21.1,77.6
11.5,56.0
2.8,63.7
21.2,76.1
11.6,55.39999999999999
2.9,62.5
21.3,76.10000000000001
11.7,54.10000000000001
2.10,61.1
31,60.400000000000006
21.4,74.6
11.8,52.800000000000004
2.11,59.7
31.1,66.4
21.5,73.3
11.9,51.8
2.12,58.300000000000004
31.2,68.39999999999999
21.6,74.4
11.10,50.6
2.13,63.400000000000006
31.3,67.0
21.7,73.0
11.11,49.3
2.14,64.1
31.4,65.7
21.8,71.8
11.12,47.900000000000006
2.15,71.4
31.5,64.4
21.9,70.4
11.13,53.1
2.16,70.1
31.6,62.99999999999999
21.10,68.9
11.14,58.6
2.17,68.9
31.7,62.7
11.15,59.8
2.18,67.6
31.8,63.00000000000001
21.11,65.2
11.16,59.9
2.19,69.0
31.9,61.699999999999996
21.12,63.800000000000004
11.17,58.599999999999994
3,67.80000000000001
31.10,60.5
11.18,58.8
3.1,67.0
31.11,59.199999999999996
21.13,60.4
11.19,57.60000000000001
3.2,67.69999999999999
31.12,59.1
21.14,60.099999999999994
12,56.300000000000004
3.3,68.4
31.13,65.8
12.1,55.0
3.4,67.10000000000001
31.14,64.3
12.2,53.60000000000001
21.15,62.8
3.5,65.8
31.15,63.0
12.3,52.2
21.16,73.1
3.6,64.5
31.16,62.099999999999994
12.4,50.900000000000006
3.7,63.19999999999999
31.17,60.80000000000001
12.5,49.8
3.8,62.5
31.18,72.10000000000001
12.6,49.0
21.17,66.5
3.9,61.10000000000001
31.19,70.69999999999999
12.7,47.999999999999986
3.10,59.69999999999999
32,69.2
12.8,46.7
3.11,58.400000000000006
32.1,75.60000000000001
12.9,45.30000000000001
32.2,74.0
3.12,55.30000000000001
12.10,42.19999999999999
32.3,72.70000000000002
3.13,54.20000000000002
21.18,59.5
12.11,41.30000000000001
32.4,72.39999999999999
3.14,52.999999999999986
21.19,74.1
12.12,45.5
32.5,70.9
3.15,57.8
32.6,71.60000000000001
12.13,48.30000000000001
22,70.10000000000001
32.7,74.19999999999999
22.1,68.0
32.8,72.80000000000001
22.2,66.50000000000001
3.16,49.099999999999994
32.9,57.8
22.3,65.1
32.10,46.39999999999999
32.11,56.0
32.12,57.499999999999986
32.13,55.79999999999998
22.4,63.80000000000001
32.14,58.0
12.14,40.2
3.17,54.0
32.15,67.3
12.15,42.2
22.5,66.89999999999999
3.18,60.3
32.16,65.79999999999998
12.16,41.000000000000014
3.19,62.099999999999994
32.17,65.5
22.6,70.5
32.18,65.4
4,61.900000000000006
32.19,61.60000000000002
4.1,60.60000000000002
12.17,53.69999999999999
33,61.5
4.2,63.39999999999998
12.18,62.099999999999994
33.1,60.69999999999999
4.3,62.0
12.19,60.80000000000001
33.2,60.0
13,59.39999999999998
33.3,59.70000000000002
4.4,57.400000000000006
13.1,59.900000000000006
33.4,59.400000000000006
22.7,60.80000000000001
4.5,64.20000000000002
33.5,59.099999999999994
22.8,63.79999999999998
33.6,61.79999999999998
13.2,55.29999999999998
4.6,64.6
33.7,52.400000000000006
4.7,64.0
22.9,70.6
13.3,52.70000000000002
33.8,65.29999999999998
4.8,69.0
22.10,77.60000000000002
13.4,51.39999999999998
33.9,52.099999999999994
4.9,67.79999999999998
22.11,76.19999999999999
33.10,51.80000000000001
4.10,66.4
22.12,75.29999999999998
33.11,56.099999999999994
4.11,64.9
22.13,73.9
33.12,58.30000000000001
22.14,72.5
33.13,57.69999999999999
22.15,71.10000000000002
33.14,56.599999999999994
4.12,57.30000000000001
33.15,56.599999999999994
22.16,67.30000000000001
4.13,55.900000000000006
33.16,56.60000000000002
13.5,35.80000000000001
22.17,66.19999999999999
33.17,55.79999999999998
13.6,38.29999999999998
4.14,54.0
22.18,64.9
33.18,55.900000000000006
13.7,38.599999999999994
4.15,61.79999999999998
22.19,66.70000000000002
33.19,58.20000000000002
13.8,46.5
4.16,61.5
34,62.5
23,63.900000000000006
34.1,61.0
4.17,58.80000000000001
34.2,60.400000000000006
23.1,64.89999999999998
4.18,58.19999999999999
34.3,59.900000000000006
4.19,55.30000000000001
34.4,60.30000000000001
5,53.900000000000034
34.5,56.0
23.2,61.79999999999998
5.1,53.400000000000006
34.6,48.30000000000001
23.3,61.5
34.7,55.69999999999999
5.2,61.60000000000002
23.4,71.30000000000001
13.9,46.69999999999999
34.8,68.9
23.5,72.0
34.9,52.50000000000003
5.3,59.10000000000002
13.10,42.099999999999966
34.10,55.80000000000001
5.4,60.29999999999998
13.11,42.99999999999997
34.11,56.599999999999994
23.6,66.5
5.5,64.69999999999999
34.12,61.0
23.7,74.1
5.6,63.50000000000003
13.12,38.70000000000002
34.13,59.69999999999999
34.14,59.19999999999999
5.7,65.19999999999999
34.15,57.89999999999998
5.8,63.79999999999998
13.13,52.19999999999999
34.16,58.900000000000006
5.9,62.89999999999998
13.14,50.79999999999998
34.17,54.10000000000002
23.8,64.69999999999999
34.18,61.89999999999998
13.15,52.70000000000002
23.9,63.29999999999998
34.19,53.89999999999998
13.16,56.099999999999994
23.10,72.70000000000002
35,53.00000000000003
35.1,59.5
13.17,52.5
35.2,49.19999999999999
5.10,55.30000000000001
13.18,51.099999999999994
35.3,51.49999999999997
35.4,59.19999999999999
5.11,60.900000000000006
35.5,57.79999999999998
35.6,57.5
